"MED_DEPT_CD","MED_DEPT_NM","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
PEIR,소아청소년과(면역류마티스),543,432,415,128,23.57
PTS,소아흉부외과,554,426,359,195,35.2
PEDZ,소아청소년과(일반),488,417,313,175,35.86
HPFM2,암건강증진센터가정의학과(대한외래),617,415,330,287,46.52
PENE,소아청소년과(신생아),537,407,364,173,32.22
PPS,소아성형외과,501,397,357,144,28.74
PARD,소아청소년과(호흡알레르기),459,395,340,119,25.93
PEF0,소아청소년과(전임의),964,394,369,595,61.72
LIGS,간암센터외과,497,370,326,171,34.41
HPFM1,암건강증진센터가정의학과,494,367,300,194,39.27
STCNS,척추종양센터신경외과,443,363,313,130,29.35
GSZ,외과(일반),484,355,387,97,20.04
EQLC,감성센터,415,342,302,113,27.23
STCOS,척추종양센터정형외과,376,333,265,111,29.52
PEGD,소아청소년과(유전),382,331,310,72,18.85
SCCDM,피부암/항암제특이반응센터피부과,395,322,339,56,14.18
HSIMC,(강남)순환기내과,352,308,287,65,18.47
HSIME,(강남)내분비대사내과,354,285,248,106,29.94
IMHM,내과(입원의학),408,255,33,375,91.91
OTS,장기이식센터,318,255,15,303,95.28
POSHS,소아정형(수부)외과,271,248,240,31,11.44
HSFM,(강남)가정의학과,281,245,221,60,21.35
BCCPS,유방센터성형외과,248,222,216,32,12.9
DMC,약물안전센터,247,216,216,31,12.55
BSCNR,뇌종양센터신경과,284,214,189,95,33.45
IHC,국제진료센터,244,210,215,29,11.89
CPCC,(성남)소아생활치료센터,1338,201,593,745,55.68
PCTC,소아임상시험실,266,196,213,53,19.92
PEHOD,소아청소년암센터낮병동,646,193,601,45,6.97
COCC,통합케어클리닉,454,191,428,26,5.73
GIS,위장관외과,302,185,86,216,71.52
TCNM,갑상선센터핵의학과,371,183,140,231,62.26
NB,신생아실(소아청소년과),312,171,0,312,100
POG,소아청소년여성클리닉,216,167,129,87,40.28
PA,병리과,164,162,162,2,1.22
NPPSG,수면의학센터,173,155,0,173,100
PPCT,소아청소년과(완화의료),189,137,157,32,16.93
HSNP,(강남)정신건강의학과,149,135,141,8,5.37
HPC99,건강의학과,147,126,19,128,87.07
TCDR,갑상선센터영상의학과,140,120,105,35,25
RHMSK,근골격재활시술,129,116,112,17,13.18
HSIMG,(강남)소화기내과,122,109,85,37,30.33
PHCT,소아재택의료,242,107,222,20,8.26
PEHO,소아청소년과(혈액종양),289,106,18,271,93.77
HSIMA,(강남)알레르기내과,116,105,111,5,4.31
ENVR,환경의학클리닉,105,102,102,3,2.86
HSNR,(강남)신경과,96,90,92,4,4.17
CHO1,조혈모세포이식외래(암병원),174,88,114,60,34.48
HP,완화의료·임상윤리센터,104,87,87,17,16.35
AN,마취통증의학과,85,85,79,6,7.06
BCCRH,유방센터재활의학과,310,73,47,263,84.84
HSOT,(강남)안과,84,65,60,24,28.57
ICS,감염관리센터,84,61,51,33,39.29
WMHE,일마음건강클리닉,81,60,74,7,8.64
PCBS,암맞춤치료센터유방외과,60,60,52,8,13.33
BSCC1,뇌종양센터협진(신경외과),73,53,28,45,61.64
HSUR,(강남)비뇨의학과,65,53,43,22,33.85
COCC,공공진료센터 통합케어클리닉,56,49,52,4,7.14
TMUH2,(원격진료)피부과,44,44,44,0,0
GMPED,임상유전체의학과(소아청소년과),41,40,41,0,0
PEIC,소아청소년과(중환자),45,39,35,10,22.22
PDR,소아영상의학과,42,39,1,41,97.62
BSCC2,뇌종양센터협진(방사선종양학과),50,38,21,29,58
BSCC3,뇌종양센터협진(종양내과),54,36,20,34,62.96
TMUH1,(원격진료)정신과,35,34,35,0,0
PMCCM,암통합케어센터완화의료센터(가정의학과),34,29,0,34,100
GS,외과,28,25,1,27,96.43
PCIMH,암맞춤치료센터혈액종양내과,41,23,16,25,60.98
CPU,임상약리학과,24,23,24,0,0
TRS,외상외과,27,16,10,17,62.96
WMHE,공공진료센터 일마음건강클리닉,16,16,16,0,0
NPDCC,정신건강주간치료실,69,15,66,3,4.35
HSDR,(강남)영상의학과,14,14,14,0,0
PMCNR,암통합케어센터신경센터,17,13,1,16,94.12
SMK,금연클리닉,14,13,12,2,14.29
HSRH,(강남)재활의학과,11,11,10,1,9.09
HSGS,(강남)외과,11,10,10,1,9.09
GMNR,임상유전체의학과(신경과),10,9,8,2,20
HSIMN,(강남)신장내과,9,9,9,0,0
PHPC,소아 건강검진,9,9,9,0,0
PTR,소아방사선종양학과,11,7,4,7,63.64
BSCC5,뇌종양센터협진(신경과),6,5,1,5,83.33
GMLM,임상유전체의학과(진단검사의학과),5,5,5,0,0
PCP,소아진단검사의학과,4,4,0,4,100
ICUNS,중환자의학(신경외과),4,4,0,4,100
SCC2,피부암센터협진외래(성형외과),11,3,3,8,72.73
HOHC,가정형 호스피스,8,3,6,2,25
SCC1,피부암센터협진외래(피부과),5,3,5,0,0
CFPS,두개안면기형 협진클리닉(소아성형외과),3,3,3,0,0
PAN,소아마취통증의학과,3,3,0,3,100
CFNS,두개안면기형 협진클리닉(소아신경외과),3,3,2,1,33.33
PEDH,소아청소년과(입원의학),3,3,0,3,100
CFOT,두개안면기형 협진클리닉(소아안과),3,3,3,0,0
SCC6,피부암센터협진외래(병리과),3,3,0,3,100
REDNR,응급의료센터(신경과),5,2,0,5,100
LUCC3,폐암센터협진(종양내과),2,2,2,0,0
ICUGS,중환자의학(외과),2,2,0,2,100
LUCC1,폐암센터협진(흉부외과),2,2,2,0,0
LUCC4,폐암센터협진(방사선종양학과),2,2,2,0,0
LUCC5,폐암센터협진(영상의학과),2,2,2,0,0
STC1,척추종양센터협진(신경외과),4,1,2,2,50
PCIMG,암맞춤치료센터소화기내과,2,1,1,1,50
STC3,척추종양센터협진(혈액종양내과),1,1,1,0,0
STC4,척추종양센터협진(방사선종양학과),1,1,0,1,100
ICUAN,중환자의학(마취통증의학과),1,1,0,1,100
PCCRS,암맞춤치료센터대장항문외과,1,1,1,0,0
PEHO0,소아청소년암센터협진(소아청소년암센터),1,1,0,1,100
PMCPA,암통합케어센터암성통증센터,1,1,0,1,100
PEHO2,소아청소년암센터협진(영상의학과),1,1,0,1,100
HSIMR,(강남)호흡기내과,1,1,1,0,0
STC6,척추종양센터협진(병리과),1,1,0,1,100
ICUEM,중환자의학(응급의학과),1,1,0,1,100
STC5,척추종양센터협진(영상의학과),1,1,1,0,0
SCC4,피부암센터협진외래(종양내과),1,1,0,1,100
ENVR,공공진료센터 환경의학클리닉,1,1,0,1,100
GSO1,유방진료실,1,1,0,1,100
LUCC2,폐암센터협진(호흡기내과),1,1,1,0,0
